,label,text
0,0,"- Awww, c'est un bummer. Tu devrais avoir david carr du troisième jour pour le faire. ;ré"
1,0,"Est contrarié qu'il ne puisse pas mettre à jour son facebook en le télémaignant ... et peut-être pleurer en conséquence, l'école aujourd'hui aussi. blabla!"
2,0,J'ai plongé plusieurs fois pour la balle. A réussi à économiser 50% le reste sort de limites
3,0,Tout mon corps a des démangeaisons et comme si c'était en feu
4,0,"Non, il ne se comporte pas du tout. je suis en colère. pourquoi suis-je ici? Parce que je ne peux pas vous voir partout."
5,0,Pas l'équipage complet
6,0,besoin d'un câlin
7,0,"Bonjour pas de vue! Oui ... pleut un peu, juste un peu lol, je vais bien merci, comment ça va?"
8,0,"Non, ils ne l'avaient pas"
9,0,Je meurs?
10,0,Vacances de printemps en ville ordinaire ... il neige
11,0,Je viens de perdre mes oreilles
12,0,Je ne pouvais pas supporter de le regarder. Et je pensais que la perte de l'ua était embarrassante. . . . .
13,0,"Ça compte, idk pourquoi je l'ai fait non plus. Tu ne me parles plus"
14,0,"J'aurais été le premier, mais je n'avais pas d'arme à feu. Pas vraiment, zac snyder est juste une doucheclown."
15,0,J'aimerais que je le regarde avec vous !! Tu me manques et comment était la première?
16,0,La scène de la mort de Hollis va humer sévèrement de regarder le film en train de se débrouiller.
17,0,Sur le point de déposer des taxes
18,0,Ahh ive toujours voulu voir le loyer adorer la bande originale !!
19,0,Oh cher. Est-ce que vous buviez des boissons de table oubliées?
20,0,J'étais dehors la plupart du temps donc je n'ai pas beaucoup fait
21,0,Un de mes amis m'a appelé et a demandé de la rencontrer à la mi-vallée aujourd'hui ... mais je n'ai pas le temps * soupir *
22,0,"Je vous ai cuisiné un gâteau, mais je l'ai appris"
23,0,Cette semaine ne va pas comme je l'avais espéré
24,0,classe blagh demain à 8
25,0,Je déteste quand je dois appeler et réveiller les gens
26,0,Je vais me crier après avoir regardé Marley et moi.
27,0,Je suis triste maintenant miss.lilly
28,0,"Ooooh .... lol que leslie .... et ok je ne le refuserai pas, donc leslie ne va pas se fâcher de nouveau"
29,0,Meh ... presque l'amant est l'exception ... cette piste me déprime à chaque fois.
30,0,Some1 piraté mon compte sur le but maintenant je dois en créer un nouveau
31,0,"Je veux aller pour promouvoir l'engrenage et le sillon, mais malheureusement, je ne vais pas là-bas. Je pourrais aller à celui d'Anaheim en mai"
32,0,Pensé dormir dans était une option demain mais en réalisant que ce n'est pas le cas maintenant. Les évaluations le matin et le travail dans l'après-midi!
33,0,"Crainte que je vous aime aussi !!!! Je suis ici, je vous manque"
34,0,Je pleure mes yeux asiatiques pour dormir la nuit
35,0,"Ok, je suis malade et j'ai passé une heure assise dans la douche parce que j'étais trop malade pour supporter et retenir le puke comme un champion. au lit maintenant"
36,0,Je vous raconte l'histoire plus tard pas une bonne journée et je travaillerai comme trois heures de plus ...
37,0,Pardon! Le temps de coucher est venu ici (gmt + 1)
38,0,Je ne le fais pas non plus. c'est déprimant. Je ne pense pas que je voulais même savoir sur les enfants dans les valises.
39,0,lit. Classe 8-12. Travail 12-3. Gymnase 3-5 ou 6. puis classe 6-10. Un autre jour qui va passer. ma petite amie me manque
